"Data","Var% Dólar Comercial - PTAX Média Mensal, Venda (R$/US$)","Var% Dólar Comercial - PTAX Final do Mês, Venda (R$/US$)"
"02/1977","1,93","2,22"
"03/1977","2,36","1,40"
"04/1977","2,69","2,38"
"05/1977","2,62","4,79"
"06/1977","2,55","2,50"
"07/1977","2,63","1,46"
"08/1977","1,87","1,72"
"09/1977","1,63","1,42"
"10/1977","1,41","1,66"
"11/1977","1,85","1,70"
"12/1977","2,92","3,35"
"01/1978","1,51","1,25"
"02/1978","1,55","1,54"
"03/1978","2,02","2,67"
"04/1978","1,86","1,89"
"05/1978","2,47","2,55"
"06/1978","2,24","1,86"
"07/1978","1,74","2,11"
"08/1978","2,65","2,39"
"09/1978","2,42","2,12"
"10/1978","1,52","2,03"
"11/1978","2,53","2,09"
"12/1978","3,48","4,34"
"01/1979","3,46","4,16"
"02/1979","3,34","2,11"
"03/1979","3,24","3,96"
"04/1979","3,36","2,85"
"05/1979","5,04","4,16"
"06/1979","4,35","3,55"
"07/1979","1,79","1,79"
"08/1979","3,33","6,32"
"09/1979","6,67","7,42"
"10/1979","4,76","1,98"
"11/1979","4,61","5,33"
"12/1979","27,64","32,74"
"01/1980","8,37","3,20"
"02/1980","2,80","3,24"
"03/1980","3,70","3,29"
"04/1980","3,87","4,70"
"05/1980","3,04","3,69"
"06/1980","3,15","2,97"
"07/1980","2,90","2,98"
"08/1980","3,41","3,66"
"09/1980","3,59","3,12"
"10/1980","3,83","5,38"
"11/1980","4,32","3,00"
"12/1980","4,16","4,78"
"01/1981","5,71","4,49"
"02/1981","4,43","5,01"
"03/1981","5,47","6,48"
"04/1981","6,17","6,30"
"05/1981","6,43","6,00"
"06/1981","5,51","6,00"
"07/1981","5,97","6,00"
"08/1981","6,34","6,00"
"09/1981","5,36","5,79"
"10/1981","5,88","5,70"
"11/1981","5,81","5,50"
"12/1981","5,83","5,50"
"01/1982","5,11","5,20"
"02/1982","4,78","4,99"
"03/1982","5,41","5,00"
"04/1982","5,04","5,26"
"05/1982","5,09","5,13"
"06/1982","5,23","5,49"
"07/1982","5,59","5,78"
"08/1982","6,39","6,01"
"09/1982","6,86","6,70"
"10/1982","6,73","7,25"
"11/1982","6,62","6,76"
"12/1982","6,73","6,75"
"01/1983","7,24","8,81"
"02/1983","19,89","38,56"
"03/1983","26,94","9,46"
"04/1983","8,66","8,95"
"05/1983","9,05","8,50"
"06/1983","9,09","10,00"
"07/1983","10,15","12,70"
"08/1983","12,80","9,65"
"09/1983","9,02","9,99"
"10/1983","11,96","14,09"
"11/1983","10,92","8,55"
"12/1983","8,62","7,66"
"01/1984","7,92","9,76"
"02/1984","10,75","12,31"
"03/1984","12,33","10,06"
"04/1984","9,26","8,84"
"05/1984","8,86","8,88"
"06/1984","8,87","9,23"
"07/1984","10,41","10,24"
"08/1984","9,82","10,60"
"09/1984","10,51","10,54"
"10/1984","11,34","12,58"
"11/1984","11,44","9,88"
"12/1984","10,02","10,52"
"01/1985","11,81","12,59"
"02/1985","11,90","10,21"
"03/1985","10,53","12,63"
"04/1985","13,40","11,91"
"05/1985","10,99","10,04"
"06/1985","9,66","9,12"
"07/1985","8,32","7,69"
"08/1985","7,90","8,23"
"09/1985","11,18","12,27"
"10/1985","9,71","9,39"
"11/1985","9,06","9,23"
"12/1985","11,02","12,19"
"01/1986","14,10","15,87"
"02/1986","15,20","13,86"
"03/1986","6,22","0,00"
"04/1986","0,00","0,00"
"05/1986","0,00","0,00"
"06/1986","0,00","0,00"
"07/1986","0,00","0,00"
"08/1986","0,00","0,00"
"09/1986","0,00","0,00"
"10/1986","0,94","1,81"
"11/1986","0,98","0,75"
"12/1986","3,11","5,23"
"01/1987","7,92","10,70"
"02/1987","15,53","19,70"
"03/1987","15,82","11,87"
"04/1987","12,86","14,86"
"05/1987","29,84","33,66"
"06/1987","28,13","27,59"
"07/1987","13,93","6,10"
"08/1987","4,89","5,08"
"09/1987","5,81","6,04"
"10/1987","8,04","9,01"
"11/1987","10,04","12,83"
"12/1987","14,18","14,56"
"01/1988","14,70","15,43"
"02/1988","16,99","18,11"
"03/1988","17,94","17,30"
"04/1988","17,31","18,95"
"05/1988","19,85","18,37"
"06/1988","18,36","19,63"
"07/1988","21,05","24,20"
"08/1988","23,90","21,00"
"09/1988","22,00","24,10"
"10/1988","26,20","27,65"
"11/1988","27,80","26,92"
"12/1988","26,69","28,65"
"01/1989","35,47","32,18"
"02/1989","10,74","0,00"
"03/1989","0,00","0,00"
"04/1989","1,50","3,20"
"05/1989","8,28","13,37"
"06/1989","21,66","29,83"
"07/1989","43,16","42,59"
"08/1989","29,31","29,36"
"09/1989","32,00","35,51"
"10/1989","37,43","37,61"
"11/1989","39,15","41,01"
"12/1989","48,19","54,15"
"01/1990","54,58","56,11"
"02/1990","65,31","72,78"
"03/1990","59,34","38,73"
"04/1990","27,03","19,76"
"05/1990","9,06","8,15"
"06/1990","9,35","10,90"
"07/1990","16,46","13,92"
"08/1990","7,88","3,05"
"09/1990","5,27","17,51"
