"Data","Var% Dólar Comercial - PTAX Média Mensal, Venda (R$/US$)","Var% Dólar Comercial - PTAX Final do Mês, Venda (R$/US$)","Var% IPCA - Índice de Preços ao Consumidor Ampliado (%)"
"02/1977","1,93","2,22",""
"03/1977","2,36","1,40",""
"04/1977","2,69","2,38",""
"05/1977","2,62","4,79",""
"06/1977","2,55","2,50",""
"07/1977","2,63","1,46",""
"08/1977","1,87","1,72",""
"09/1977","1,63","1,42",""
"10/1977","1,41","1,66",""
"11/1977","1,85","1,70",""
"12/1977","2,92","3,35",""
"01/1978","1,51","1,25",""
"02/1978","1,55","1,54",""
"03/1978","2,02","2,67",""
"04/1978","1,86","1,89",""
"05/1978","2,47","2,55",""
"06/1978","2,24","1,86",""
"07/1978","1,74","2,11",""
"08/1978","2,65","2,39",""
"09/1978","2,42","2,12",""
"10/1978","1,52","2,03",""
"11/1978","2,53","2,09",""
"12/1978","3,48","4,34",""
"01/1979","3,46","4,16",""
"02/1979","3,34","2,11",""
"03/1979","3,24","3,96",""
"04/1979","3,36","2,85",""
"05/1979","5,04","4,16",""
"06/1979","4,35","3,55",""
"07/1979","1,79","1,79",""
"08/1979","3,33","6,32",""
"09/1979","6,67","7,42",""
"10/1979","4,76","1,98",""
"11/1979","4,61","5,33",""
"12/1979","27,64","32,74",""
"01/1980","8,37","3,20",""
"02/1980","2,80","3,24","-30,21"
"03/1980","3,70","3,29","30,74"
"04/1980","3,87","4,70","-12,42"
"05/1980","3,04","3,69","7,75"
"06/1980","3,15","2,97","-6,84"
"07/1980","2,90","2,98","4,52"
"08/1980","3,41","3,66","-10,81"
"09/1980","3,59","3,12","-14,55"
"10/1980","3,83","5,38","124,11"
"11/1980","4,32","3,00","-29,64"
"12/1980","4,16","4,78","-0,90"
"01/1981","5,71","4,49","3,48"
"02/1981","4,43","5,01","-6,43"
"03/1981","5,47","6,48","-22,34"
"04/1981","6,17","6,30","29,98"
"05/1981","6,43","6,00","-13,93"
"06/1981","5,51","6,00","-0,72"
"07/1981","5,97","6,00","13,41"
"08/1981","6,34","6,00","-12,14"
"09/1981","5,36","5,79","-4,36"
"10/1981","5,88","5,70","-3,42"
"11/1981","5,81","5,50","3,74"
"12/1981","5,83","5,50","12,52"
"01/1982","5,11","5,20","17,54"
"02/1982","4,78","4,99","-4,73"
"03/1982","5,41","5,00","-14,01"
"04/1982","5,04","5,26","3,15"
"05/1982","5,09","5,13","13,07"
"06/1982","5,23","5,49","6,61"
"07/1982","5,59","5,78","-10,42"
"08/1982","6,39","6,01","-6,13"
"09/1982","6,86","6,70","-14,91"
"10/1982","6,73","7,25","-12,60"
"11/1982","6,62","6,76","19,14"
"12/1982","6,73","6,75","47,64"
"01/1983","7,24","8,81","10,63"
"02/1983","19,89","38,56","-9,03"
"03/1983","26,94","9,46","-6,62"
"04/1983","8,66","8,95","-10,35"
"05/1983","9,05","8,50","-1,52"
"06/1983","9,09","10,00","52,47"
"07/1983","10,15","12,70","2,02"
"08/1983","12,80","9,65","-9,62"
"09/1983","9,02","9,99","13,06"
"10/1983","11,96","14,09","-13,88"
"11/1983","10,92","8,55","-16,80"
"12/1983","8,62","7,66","17,62"
"01/1984","7,92","9,76","11,41"
"02/1984","10,75","12,31","-1,76"
"03/1984","12,33","10,06","-5,89"
"04/1984","9,26","8,84","6,71"
"05/1984","8,86","8,88","-5,14"
"06/1984","8,87","9,23","11,38"
"07/1984","10,41","10,24","-3,57"
"08/1984","9,82","10,60","-3,81"
"09/1984","10,51","10,54","25,67"
"10/1984","11,34","12,58","-11,15"
"11/1984","11,44","9,88","0,86"
"12/1984","10,02","10,52","13,77"
"01/1985","11,81","12,59","-1,84"
"02/1985","11,90","10,21","-7,57"
"03/1985","10,53","12,63","-6,53"
"04/1985","13,40","11,91","-19,29"
"05/1985","10,99","10,04","-12,20"
"06/1985","9,66","9,12","17,92"
"07/1985","8,32","7,69","21,44"
"08/1985","7,90","8,23","16,88"
"09/1985","11,18","12,27","-7,72"
"10/1985","9,71","9,39","-4,50"
"11/1985","9,06","9,23","31,54"
"12/1985","11,02","12,19","7,87"
"01/1986","14,10","15,87","-4,64"
"02/1986","15,20","13,86","-11,48"
"03/1986","6,22","0,00","-62,50"
"04/1986","0,00","0,00","-83,65"
"05/1986","0,00","0,00","79,49"
"06/1986","0,00","0,00","-9,29"
"07/1986","0,00","0,00","34,65"
"08/1986","0,00","0,00","107,60"
"09/1986","0,00","0,00","-51,55"
"10/1986","0,94","1,81","10,47"
"11/1986","0,98","0,75","186,84"
"12/1986","3,11","5,23","113,76"
"01/1987","7,92","10,70","13,39"
"02/1987","15,53","19,70","-4,31"
"03/1987","15,82","11,87","29,51"
"04/1987","12,86","14,86","16,68"
"05/1987","29,84","33,66","12,30"
"06/1987","28,13","27,59","-8,11"
"07/1987","13,93","6,10","-53,27"
"08/1987","4,89","5,08","-47,12"
"09/1987","5,81","6,04","59,75"
"10/1987","8,04","9,01","44,22"
"11/1987","10,04","12,83","34,40"
"12/1987","14,18","14,56","-6,17"
